Business Name,Category,About the Business,Website,Phone number,Address,Pictures,Category Title,City,ZipCode
Healing Elaine,Active Life,"Mystery Illness, Fertility, Dark Night Of The Soul, Spiritual Crossroads, C Suite Consulting, Space Clearing",healingelaine.com,(917) 924-5987,"Austin, TX 78701 ","https://s3-media2.fl.yelpcdn.com/bphoto/th4B8yCWvb1xSJCkcIaXXQ/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/74sUXSm5qM6sdZ-vBM9-mA/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/D6vdb4kpgvDeKOvAJs3A4A/o.jpg,","Counseling & Mental Health,Reiki,Alternative Medicine,",Austin,78701
The Wrecking Club,Active Life,The Wrecking Club is a place where you can smash stuff to pieces!!,wreckingclub.com,(212) 933-0929,"458 9th Ave New York, NY 10018 ","https://s3-media4.fl.yelpcdn.com/bphoto/gp9lmv29L9jlrrmijWpIQQ/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/9yBSIoSsqcvTgaM2Cwlw5w/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/S-xN1vQM_41uUwlYfKbAFA/o.jpg,","Challenge Courses,",New York,10018
The Neuromuscular Center,Active Life,"I specialize in relieving pain: TMJ pain, back spasm, whiplash, neck problems, shoulder pain, numbness,  sports injuries, car accidents, movement therapy for tramatic brain injuries and neuromuscular disabilities. As a dedicated massage and orthopedic exercise therapist, your pain, pressure, adhesions, and faulty alignment will be reduced as we unlock the doors that are holding you back. I treat your issues with a variety of techniques to reduce pain, increase range of motion, and improve biomechanics. As a measure of success, I check your symmetry before and after treatment to see how your posture has improved.  With over 45 years of experience, I can reeducate your body so you move freely and feel restored, totally relaxed, and ready for life.

Sara has treated thousands of people, from gold medal Olympians to celebrities to brain-injured infants to Wall Street professionals, to Tibetan llamas to electricians.  

As part of your initial consultation, Sara studies your medical history, watches you walk and sit, and reviews your situation. She uses Neuromuscular Therapy and other techniques to locate and eradicate your pain, which lower your stress.  She also is able to recommend appropriate foods and nutrients, consider hormone levels and develop exercises to further help you.",theneuromuscularcenter.com,(212) 242-4962,"148 W 23rd St New York, NY 10011 ","https://s3-media1.fl.yelpcdn.com/bphoto/8Whqk-RMPfGlhUP6078FnA/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/XlSKZL9bBEGMTS6yjUiTuA/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/BR_zjGgS4MJTguSwakZiaQ/o.jpg,","Massage Therapy,Nutritionists,Physical Therapy,",New York,10011
PhysioRX,Active Life,"Call or Email about your FREE Consultation with a PT.

PhysioRX is an Orthopedic and Sports Physical Therapy practice. We specialize in providing care to active New Yorkers- getting faster results than standard care. 

Our Board-Certified Orthopedic Specialist provides treatment for all conditions, from lower back or neck pain to post-surgical recovery. While utilizing the most current evidence and providing an individualized program, our goal is to get our patients back to doing what they love.   

Appointments are always one-on-one with your Doctor of Physical Therapy.",physiorx.nyc,(646) 860-0670,"164 West 25th St Fl 2 New York, NY 10001 ","https://s3-media2.fl.yelpcdn.com/bphoto/paA1V2DQmppSldwtbf1Idg/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/wG2dhx0uVwMu_hXAFPOVvQ/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/GSnUSkykMmo9JRi2Wnl8jw/o.jpg,","Physical Therapy,Sports Medicine,",New York,10001
SeaGlass Carousel,Active Life,Established in 2015.,seaglasscarousel.nyc,(212) 344-3491,"State St & Water St The Battery Park New York, NY 10004 ","https://s3-media2.fl.yelpcdn.com/bphoto/rNZU-Q-lRVCKpN4VnUVrog/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/dec-ovATdNOmHC0GGXvjMg/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/BsgMXgl-S8vNY1M3P6b29w/o.jpg,","Carousels,",New York,10004
Be Activated,Active Life,"Offer services to treat muscle aches, joint pain, and limited range of motion. A session of manual therapy can improve your performance and overall quality of life. Having a variety of tools and techniques to help the body move optimally and in a state of performance. We offer single sessions mostly used as tune up/relaxation time. Or we dive real deep and discover the reasons for injury and pain, not solely look at the symptoms. With thorough assessments we find out how the body is compensating, once we figure out how, we then can start the process of change. ",beactivatednyc.com,(516) 206-0674,"12 W 27th St Fl 9 New York, NY 10001 ","https://s3-media1.fl.yelpcdn.com/bphoto/9d6yBbqqkCP0X45fOyxPfQ/o.jpg,","Massage Therapy,Chiropractors,",New York,10001
Pain Care Chiropractic,Active Life,"Pain Care Chiropractic is a skilled New York, NY Chiropractor dedicated to getting every patient the treatment they deserve. We believe that your physical well-being is of utmost importance.",,(212) 966-9899,"80 Bowery Ste 403 New York, NY 10013 ","https://s3-media2.fl.yelpcdn.com/bphoto/WImCp-WbX0jOEZH2_w9rsw/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/XDVH5OQSxjo48As292EODQ/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/LCjiXSUgwtksBNzvYrVXRA/o.jpg,","Chiropractors,",New York,10013
The Rage Cage,Active Life,"Break our plates and smash our printers -- we'll take care of the rest! Visit one of our HUGE rage rooms and get your rage on at The Rage Cage, located in NYC!",ragecagenyc.com,(347) 799-1773,"235 Grand St Brooklyn, NY 11211 ","https://s3-media4.fl.yelpcdn.com/bphoto/Yp8SzconCgKz2oTLQdjfUg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/T55oND3igSBSqXNuaH5hAQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/X7G8mkhR2VbEqJR3B0JOQQ/o.jpg,","Team Building Activities,",Brooklyn,11211
Park Slope Chiropractic,Active Life,"Kenneth Campo, DC, is a dedicated and compassionate chiropractor who serves the communities in and around Brooklyn, New York from his practice, Park Slope Chiropractic. Dr. Campo approaches chiropractic services with a holistic philosophy, searching for the root cause of conditions such as back pain, shoulder pain, neck pain, sciatica, and migraines, as well as providing comprehensive care for herniated discs, carpal tunnel, and injuries sustained in car accidents. Dr. Campo is dedicated to helping his patients lead active, pain-free, and healthy lives.
Dr. Campo earned his Doctor of Chiropractic degree at Life University in Marietta, Georgia, and has been practicing chiropractic care for over 20 years. Dr. Campo is also certified in Active Release Technique (ART), which he uses to help some of his patients find relief from pain and get back to their normal activities. He has dedicated his practice to helping patients recover from injuries and conditions affecting the spine and nervous system, using a hands-on approach to provide relief while focusing on healing the true cause of the patient's problem.
Dr. Campo understands that the painful symptoms that bring patients to his practice are often caused by seemingly unrelated imbalances in the spine. He takes the time to understand his patients' concerns fully and performs thorough exams to customize treatment to address the unique condition of each patient. Dr...",parkslopechiro.com,(718) 839-6665,"1 Hanson Pl Ste 709 Brooklyn, NY 11243 ","https://s3-media2.fl.yelpcdn.com/bphoto/TatkniJcemBkaqF9zuT8Eg/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/FvFUgZAOriiwv60tfrqohA/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/dkrYAfr3YgkdJ5JMW7eKuw/o.jpg,","Chiropractors,",Brooklyn,11243
East Village Chiropractic,Active Life,"We Know Chronic Pain Makes Life Hard. We're Here To Help.

Our patients come to us for permanent pain relief - and that's what we strive to deliver. We offer a proven alternative to prescription drugs and expensive surgeries, because we believe that a complete recovery requires comprehensive treatment rather than a quick fix. 

We've seen firsthand how physical pain can lead to emotional suffering. If you're feeling anxious, depressed, or hopeless about your circumstances, you should know that you're not alone. 

As New York's leading practitioners of chiropractic and regenerative medicine, we're here to help you stop pain and take back your life.",eastvillagechiropractic.com,(212) 260-2213,"33 E 7th St New York, NY 10003 ","https://s3-media2.fl.yelpcdn.com/bphoto/fXeZqyA7d6mkGWoC4PG4Og/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/QVnTCEifvNfygVugpszc4A/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/av0hu8c9B-Oc_eaQCVbq2g/o.jpg,","Chiropractors,",New York,10003
