NAO Wellness,nutritionists,"NAO Wellness offers a wide range of areas of expertise and services.

Services:
-Two Infrared Saunas with LED chromo light therapy
-Workshops &amp; Events
-Meditation and mindfulness classes 
-A nurses station with vitamin IV pushes, and food intolerance testing

Areas of Expertise:
Weight loss, Eating Disorders (Anorexia, Bulimia, Compulsive Eating, Food Addiction), Diabetes, Ulcerative Colitis, Digestive disorders, Candida, Fatigue, Food Allergies, Celiac/Gluten Sensitivity, IBS, Constipation,  High Cholesterol, Lymes, Detox &amp; Cleansing, Heart Disease, Cancer, PMS , PCOS,  Fibromyalgia, Premature Aging, Corporate Wellness, Exercise.

NAO Wellness's customized nutrition sessions offers individuals the personalized support they need to improve their eating habits and lifestyle choices. As a team, we will incorporate smart, mindful practices into your daily life that are realistic for your busy schedule and your body's individual needs.",naowellness.com,(646) 830-4423,"28 W 12th St New York, NY 10011 ","https://s3-media2.fl.yelpcdn.com/bphoto/qTCfvJvrW3-scehDLjlw1A/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/K8-7n2mTBLCub-vDb15CdQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/FnLzrZpV8nWXWlTevIRQBg/o.jpg,","Nutritionists,Saunas,Reiki,",New York,10011
New York City Nutrition,nutritionists,"For your convenience, we offer both telephone calls and video appointments through our HIPAA compliant patient portal during COVID 19. 

Lorraine and her team specialize in holistic health, empowering individuals to put themselves first and take control over how they nourish their body. In today's world, it is very easy to get caught up with work obligations and deadlines. This can lead to weight gain, especially around the abdominal area caused by an increase of cortisol production. Thus further leading to an imbalance of hormones, brain fog, adrenal fatigue, obesity, insulin resistance, thyroid disease and in women, PCOS. 

At LKN, we take a compassionate and holistic approach to assist individuals to recognize the negative effects poor diet and stress can have on the body. We teach people how to make the changes necessary to improve their health by making positive dietary changes that are sustainable and become a lifestyle. We do not believe in fad diets, nor do we endorse any products or supplements. We focus on the science of food, and the principles of nutrition. We teach women how to fuel their body with real food, and optimal nutrition. Our goal is for every person to live a nourished healthy life for a healthier body and mind!",lorrainekearneynutrition.com,(917) 770-5124,"245 5th Ave Fl 3 New York, NY 10016 ","https://s3-media3.fl.yelpcdn.com/bphoto/sNyCgfBvrP-G8fYKu0jvGg/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/vHrr32p5rYUre2uPGws_sg/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/wb1ozuyi72_8y2ESUDmEBA/o.jpg,","Nutritionists,Dietitians,",New York,10016
Honeydew Holistics,nutritionists,"Fertility, Fibroids, Endometriosis, Hormonal Imbalance, Menopause, Ovarian Cysts, Painful Periods, Pregnancy, Postpartum, &amp; PCOS.

Providing you with Holistic Feminine Health Services, Plant Based FemCare Products, &amp; Luxury Yoni Steams.",honeydewholistics.com,(888) 496-0444,"53 Bridge St Ste 108 Brooklyn, NY 11201 ","https://s3-media3.fl.yelpcdn.com/bphoto/zw2LBAu7rOQ28PGiaKF9vg/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/aswCZwtp0Wf3j_fkIjNCWQ/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/WdY5hXYy3umOHMBpW163TA/o.jpg,","Doulas,Nutritionists,Alternative Medicine,",Brooklyn,11201
Compass Nutrition,nutritionists,"Are you looking for a fresh approach to eating? Compass Nutrition creates a trusting and supportive environment to help you maintain a healthy lifestyle. We do not believe in judgment, deprivation, punishment, guilt, and all-or-nothing rules. 

We focus on creating enjoyable habits that lead to healthy behaviors. Our approach is simple: eat what you like, learn to moderate certain foods and make informed food decisions. 

We teach our patients new skills or reinforce current skills, so that they can get to know and trust their own body cues, move away from diet rules (and rule breaking), learn better and more insight-oriented coping strategies. Our goal is to move towards a more natural, balanced, self-led style of eating and relationship with food.

During your appointment, you will find that our treatments go beyond issuing short-term meal plans. We help our patients figure out what got their eating off-track and what perceptions, attitudes, and life-style habits are contributing factors.

For some, finding that balance is merely a matter of awareness - of how to bring a fresh approach of good eating and physical activity to each day.

For others, coordinating medical nutrition therapy and daily physical activity with other health care professionals and support groups may be what is needed.

Whatever your needs are we can individually assess and design a plan that is right for you and your goals. 

Start today!",compassnutrition.com,(212) 419-0399,"115 Broadway Ste 1800 New York, NY 10006 ","https://s3-media3.fl.yelpcdn.com/bphoto/bvyIysFAxwac5IPUPlLswA/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/Df4-B1v3W3yaXmajsnYpqA/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/IpqLlD2TKmRoLgy5ZqFWuA/o.jpg,","Nutritionists,",New York,10006
Energizing Nutrition,nutritionists,"Energizing Nutrition specializes in providing simple and practical holistic health and dietary recommendations for busy professionals and athletes.  Learn how to increase your energy, optimize work-outs, resolve digestive issues and reach your healthy weight without restriction or deprivation.  

Health and nutrition programs are completely personalized and designed to suit your individual needs, lifestyle and budget.",energizingnutrition.com,(347) 268-9289,"1133 Broadway Ste 1023 New York, NY 10010 ","https://s3-media3.fl.yelpcdn.com/bphoto/BlN0rys2vh01N_Ab8Zx1CQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/glRlCGiLVXVnKO2RTDD0RA/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/X4ePTRCu_YylwRGpzgo-Tg/o.jpg,","Nutritionists,",New York,10010
The Michaud Method,nutritionists,"Get in the best shape of your life!  We give you the tools to lose fat, tone up, or get ready for that special event. You will never need someone to tell you how to reshape your body again. Schedule your free consultation today!",ianjmichaud.com,(347) 287-7474,"New York, NY 10013 ","https://s3-media1.fl.yelpcdn.com/bphoto/YhpyB87Lhfc0SS_4nMfofg/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/uyPGzgO89xSoqw49vNUmog/o.jpg,","Trainers,Nutritionists,",New York,10013
Moss Wellness,nutritionists,"Andrea is a Certified Holistic Health &amp; Nutrition Coach. She works with her clients to help them reach their ideal weight, increase their energy, reduce stress, and feel confident about what to eat. Andrea specializes in weight loss, getting rid of digestive issues, and revamping your diet to include the foods that work best for your specific body type. She also works with running groups throughout the city to help runners boost their energy, stamina, and performance.

Andrea's individually-designed, personalized programs will radically improve your health and happiness. Together, we will explore concerns specific to you and your body and discover the tools you need for a lifetime of balance. Feel more vibrant, satiated, and happy.

Moss Wellness has a second office in Park Slope, Brooklyn. Search for our Park Slope office on Yelp or contact us for details.",mosswellness.com,(917) 450-4642,"108 E 16th St Fl 4 Manhattan, NY 10003 ","https://s3-media3.fl.yelpcdn.com/bphoto/6WVYouVDIdicchkvILaxqQ/o.jpg,","Nutritionists,",Manhattan,10003
NU Health and Wellness,nutritionists,"PLEASE NOTE:
We do not accept insurance.
All sessions are held via Skype.
Please visit our website for program information, fees, and to see if you are a good fit for our practice.

Natasha specializes in working with women on healthy weight loss, digestive and gastrointestinal problems, hormonal imbalance and fertility, pre and post-natal health, stress management, and creating a life of wellness and fulfillment.

She practices a holistic approach to nutrition, health and wellness, working with clients to improve all areas of their lives that can contribute to their well-being.  Although Natasha studied many philosophies of nutrition, her speciality lies in blending Eastern nutritional practices like Ayurveda with modern western approaches. She also specializes in gradual, healthful transitions into vegan or vegetarian diets, for clients who wish to do so.

Whether you are looking to reach your optimal weight, eliminate cravings, reduce stress, or have a healthy pregnancy, Natasha will give you the holistic tools to develop a deeper understanding of the foods and lifestyle choices that work specifically for you and implement lasting changes for the rest of your life.",nuhealthandwellness.com,(347) 974-6450,"596 Broadway New York, NY 10012 ","https://s3-media1.fl.yelpcdn.com/bphoto/i9Ut6vR-isYcvH9hgLnKAw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/G9FNy_HFjgBlalzWrK2zgA/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/UP0btVpZuenUdSruSC1YFw/o.jpg,","Nutritionists,Ayurveda,",New York,10012
Lucy's Health Coaching,nutritionists,"It's rare for anyone to get an hour to work on their nutrition and goals with a trained professional. As a Holistic Health Coach, I create a supportive environment that will enable you to achieve all of your health goals. I have studied all the major dietary theories along with knowledge in Traditional Chinese Medicine and other healing modalities. In my sessions I use practical lifestyle coaching methods to guide you in discovering which approach works best for you.

I love to work with young professionals who are tired all the time and are trying to balance their newly budding careers and busy social life.",,,"351 Stockholm St Fl 1 Brooklyn, NY 11237 ","https://s3-media3.fl.yelpcdn.com/bphoto/3IZU9ZH6FdrzKiTGUj8qww/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/zy2a1q7Hwy4BFxq1bpyvaw/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/UlPY7eNKs4NAnaKcxzCnIg/o.jpg,","Nutritionists,Health Coach,",Brooklyn,11237
Jennifer Schonborn AADP,nutritionists,"Do you want to lose weight? Make lasting changes to your eating habits? Reduce your cravings for unhealthy foods? Alleviate digestive issues? If you answered ""yes"" to any of these questions, Jennifer Schonborn, a certified holistic nutrition counselor, can help you. Together, you and Jennifer will set goals for your health and begin working on an individualized plan for integrating healthier foods into your life and bringing about lasting change. Jennifer offers a free 1-hour initial consultation which can take place over the phone or in person.",jenniferschonborn.com,(347) 387-7103,"296 1st St Brooklyn, NY 11215 ","https://s3-media4.fl.yelpcdn.com/bphoto/nvJ2FVgF68-AgZFk-I1OPw/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/n6ArYEIV_qj_W05z-46uEA/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/ZMOL8yhiDPwJbtmh_pG9jQ/o.jpg,","Nutritionists,",Brooklyn,11215
